Consolidated APA-Style Results Report
=====================================

This report compiles the analysis CSV outputs into plain-text sections.

Section 1: Descriptive Statistics
=================================

6 Month Follow Adolescents

Descriptive Statistics (Adolescents)

Overall Continuous (overall)
----------------------------
Variable | Summary
dsm5_-dsm5_total | 13.60 [11.64] - 0.00-58.00
dsm5_-dsm5_total | 16.99 [12.73] - 0.00-53.00
dsm5_-dsm5_I_Som_Symp | 2.09 [2.25] - 0.00-8.00
dsm5_-dsm5_I_Som_Symp | 2.24 [1.85] - 0.00-7.00
dsm5_-dsm5_I_Som_Symp | 1.52 [1.54] - 0.00-6.00
dsm5_-dsm5_I_Som_Symp | 2.28 [1.99] - 0.00-8.00
dsm5_-dsm5_II_Slp_prb | 0.83 [1.14] - 0.00-4.00
dsm5_-dsm5_II_Slp_prb | 0.93 [1.21] - 0.00-4.00
dsm5_-dsm5_II_Slp_prb | 0.74 [1.09] - 0.00-4.00
dsm5_-dsm5_II_Slp_prb | 1.01 [1.14] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 1.03 [1.23] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 1.33 [1.30] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 0.77 [1.05] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 1.13 [1.26] - 0.00-4.00
dsm5_-dsm5_IV_Dep | 1.83 [1.90] - 0.00-8.00
dsm5_-dsm5_IV_Dep | 2.60 [2.00] - 0.00-8.00
dsm5_-dsm5_IV_Dep | 1.68 [1.89] - 0.00-7.00
dsm5_-dsm5_IV_Dep | 2.29 [2.26] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.95 [2.03] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 2.18 [2.10] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.54 [1.85] - 0.00-7.00
dsm5_-dsm5_V_VI_Angr_Irrit | 2.01 [1.99] - 0.00-8.00
dsm5_-dsm5_VII_Mania | 1.70 [1.65] - 0.00-8.00
dsm5_-dsm5_VII_Mania | 1.35 [1.35] - 0.00-5.00
dsm5_-dsm5_VII_Mania | 1.61 [1.57] - 0.00-6.00
dsm5_-dsm5_VII_Mania | 1.58 [1.78] - 0.00-7.00
dsm5_-dsm5_VIII_Anx | 2.60 [2.58] - 0.00-11.00
dsm5_-dsm5_VIII_Anx | 3.18 [2.79] - 0.00-11.00
dsm5_-dsm5_VIII_Anx | 2.08 [2.43] - 0.00-11.00
dsm5_-dsm5_VIII_Anx | 2.73 [2.67] - 0.00-11.00
dsm5_-dsm5_IX_Psychss | 0.37 [1.02] - 0.00-8.00
dsm5_-dsm5_IX_Psychss | 0.37 [1.00] - 0.00-6.00
dsm5_-dsm5_IX_Psychss | 0.46 [1.05] - 0.00-5.00
dsm5_-dsm5_IX_Psychss | 0.55 [1.28] - 0.00-7.00
dsm5_-dsm5_X_Rpt_thts | 3.47 [3.21] - 0.00-14.00
dsm5_-dsm5_X_Rpt_thts | 3.80 [3.32] - 0.00-14.00
dsm5_-dsm5_X_Rpt_thts | 3.14 [2.96] - 0.00-14.00
dsm5_-dsm5_X_Rpt_thts | 3.35 [2.99] - 0.00-11.00
dsm5_-dsm5_XI_Sbtncd | 0.04 [0.20] - 0.00-1.00
dsm5_-dsm5_XI_Sbtncd | 0.03 [0.22] - 0.00-2.00
dsm5_-dsm5_XI_Sbtncd | 0.02 [0.14] - 0.00-1.00
dsm5_-dsm5_XI_Sbtncd | 0.01 [0.08] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.01 [0.12] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.03 [0.16] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.02 [0.14] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.06 [0.24] - 0.00-1.00
somatic_-somatic_total | 4.29 [3.63] - 0.00-16.00
somatic_-somatic_total | 4.83 [3.68] - 0.00-16.00
somatic_-somatic_total | 3.43 [3.21] - 0.00-14.00
somatic_-somatic_total | 4.41 [3.79] - 0.00-18.00
somatic_-somatic_item_01 | 0.45 [0.63] - 0.00-2.00
somatic_-somatic_item_01 | 0.70 [0.75] - 0.00-2.00
somatic_-somatic_item_01 | 0.41 [0.57] - 0.00-2.00
somatic_-somatic_item_01 | 0.68 [0.73] - 0.00-2.00
somatic_-somatic_item_02 | 0.56 [0.71] - 0.00-2.00
somatic_-somatic_item_02 | 0.57 [0.66] - 0.00-2.00
somatic_-somatic_item_02 | 0.43 [0.60] - 0.00-2.00
somatic_-somatic_item_02 | 0.49 [0.60] - 0.00-2.00
somatic_-somatic_item_03 | 0.69 [0.73] - 0.00-2.00
somatic_-somatic_item_03 | 0.91 [0.70] - 0.00-2.00
somatic_-somatic_item_03 | 0.60 [0.64] - 0.00-2.00
somatic_-somatic_item_03 | 0.80 [0.75] - 0.00-2.00
somatic_-somatic_item_04a | 0.52 [0.68] - 0.00-2.00
somatic_-somatic_item_04a | 0.50 [0.71] - 0.00-2.00
somatic_-somatic_item_04a | 0.38 [0.59] - 0.00-2.00
somatic_-somatic_item_04a | 0.47 [0.67] - 0.00-2.00
somatic_-somatic_item_04b | 0.63 [0.71] - 0.00-2.00
somatic_-somatic_item_04b | 0.70 [0.76] - 0.00-2.00
somatic_-somatic_item_04b | 0.44 [0.63] - 0.00-2.00
somatic_-somatic_item_04b | 0.64 [0.74] - 0.00-2.00
somatic_-somatic_item_04c | 0.29 [0.54] - 0.00-2.00
somatic_-somatic_item_04c | 0.24 [0.53] - 0.00-2.00
somatic_-somatic_item_04c | 0.26 [0.50] - 0.00-2.00
somatic_-somatic_item_04c | 0.22 [0.50] - 0.00-2.00
somatic_-somatic_item_04d | 0.24 [0.51] - 0.00-2.00
somatic_-somatic_item_04d | 0.34 [0.61] - 0.00-2.00
somatic_-somatic_item_04d | 0.14 [0.42] - 0.00-2.00
somatic_-somatic_item_04d | 0.27 [0.55] - 0.00-2.00
somatic_-somatic_item_04e | 0.19 [0.47] - 0.00-2.00
somatic_-somatic_item_04e | 0.23 [0.52] - 0.00-2.00
somatic_-somatic_item_04e | 0.21 [0.48] - 0.00-2.00
somatic_-somatic_item_04e | 0.31 [0.61] - 0.00-2.00
somatic_-somatic_item_04f | 0.39 [0.59] - 0.00-2.00
somatic_-somatic_item_04f | 0.36 [0.56] - 0.00-2.00
somatic_-somatic_item_04f | 0.34 [0.54] - 0.00-2.00
somatic_-somatic_item_04f | 0.35 [0.59] - 0.00-2.00
somatic_-somatic_item_04g | 0.25 [0.53] - 0.00-2.00
somatic_-somatic_item_04g | 0.16 [0.42] - 0.00-2.00
somatic_-somatic_item_04g | 0.17 [0.44] - 0.00-2.00
somatic_-somatic_item_04g | 0.14 [0.43] - 0.00-2.00
somatic_-somatic_item_04h | 0.10 [0.38] - 0.00-2.00
somatic_-somatic_item_04h | 0.11 [0.39] - 0.00-2.00
somatic_-somatic_item_04h | 0.06 [0.26] - 0.00-2.00
somatic_-somatic_item_04h | 0.04 [0.26] - 0.00-2.00
wemwbs_-wemwbs_total | 20.74 [5.22] - 7.00-35.00
wemwbs_-wemwbs_total | 20.40 [5.06] - 10.00-35.00
wemwbs_-wemwbs_total | 19.79 [4.80] - 7.00-33.00
wemwbs_-wemwbs_total | 20.34 [5.20] - 7.00-34.00
wemwbs_-wemwbs_item_01 | 3.13 [1.12] - 1.00-5.00
wemwbs_-wemwbs_item_01 | 3.26 [0.98] - 1.00-5.00
wemwbs_-wemwbs_item_01 | 3.12 [1.05] - 1.00-5.00
wemwbs_-wemwbs_item_01 | 3.23 [1.01] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.09 [1.09] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 2.98 [1.04] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 2.68 [1.12] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 2.91 [1.09] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.19 [1.09] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.10 [1.11] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.00 [1.10] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 2.97 [1.09] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.09 [1.12] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 2.91 [1.17] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.08 [1.10] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 2.97 [1.17] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.67 [1.24] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.70 [1.20] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.50 [1.06] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.81 [1.07] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 2.66 [1.22] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 2.68 [1.24] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 2.55 [1.17] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 2.61 [1.27] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.91 [1.17] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.76 [1.09] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.84 [1.12] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.84 [1.12] - 1.00-5.00
spsi_-spsi_ppo | 6.17 [3.13] - 0.00-17.00
spsi_-spsi_ppo | 7.35 [3.06] - 1.00-18.00
spsi_-spsi_ppo | 5.42 [2.89] - 0.00-13.00
spsi_-spsi_ppo | 6.00 [2.79] - 0.00-15.00
spsi_-spsi_npo | 5.03 [3.04] - 0.00-14.00
spsi_-spsi_npo | 6.03 [3.38] - 0.00-18.00
spsi_-spsi_npo | 4.67 [2.90] - 0.00-14.00
spsi_-spsi_npo | 5.24 [2.89] - 0.00-16.00
spsi_-spsi_rps | 6.31 [3.54] - 0.00-17.00
spsi_-spsi_rps | 7.52 [3.26] - 1.00-16.00
spsi_-spsi_rps | 5.28 [3.01] - 0.00-15.00
spsi_-spsi_rps | 6.36 [3.23] - 0.00-15.00
spsi_-spsi_ics | 7.70 [3.81] - 0.00-19.00
spsi_-spsi_ics | 8.47 [3.13] - 1.00-18.00
spsi_-spsi_ics | 7.52 [3.75] - 0.00-20.00
spsi_-spsi_ics | 7.72 [3.28] - 1.00-17.00
spsi_-spsi_as | 7.41 [3.40] - 0.00-18.00
spsi_-spsi_as | 8.31 [3.33] - 2.00-20.00
spsi_-spsi_as | 6.77 [3.30] - 0.00-16.00
spsi_-spsi_as | 7.75 [3.43] - 1.00-17.00
bbscq_-bbscq_total | 23.56 [5.25] - 4.00-30.00
bbscq_-bbscq_total | 23.97 [4.52] - 10.00-30.00
bbscq_-bbscq_total | 23.72 [3.84] - 10.00-29.00
bbscq_-bbscq_total | 23.55 [4.46] - 8.00-30.00
bbscq_-bbscq_relation | 9.02 [2.29] - 1.00-12.00
bbscq_-bbscq_relation | 8.91 [2.33] - 1.00-12.00
bbscq_-bbscq_relation | 9.14 [1.68] - 5.00-12.00
bbscq_-bbscq_relation | 8.94 [2.05] - 3.00-12.00
bbscq_-bbscq_belonging | 6.15 [1.53] - 0.00-8.00
bbscq_-bbscq_belonging | 6.27 [1.42] - 1.00-8.00
bbscq_-bbscq_belonging | 6.05 [1.44] - 2.00-8.00
bbscq_-bbscq_belonging | 5.95 [1.45] - 0.00-8.00
bbscq_-bbscq_comitment | 3.56 [0.82] - 0.00-4.00
bbscq_-bbscq_comitment | 3.66 [0.77] - 0.00-4.00
bbscq_-bbscq_comitment | 3.68 [0.69] - 0.00-4.00
bbscq_-bbscq_comitment | 3.68 [0.77] - 0.00-4.00
bbscq_-bbscq_participation | 4.83 [1.76] - 0.00-6.00
bbscq_-bbscq_participation | 5.14 [1.31] - 0.00-6.00
bbscq_-bbscq_participation | 4.86 [1.50] - 0.00-6.00
bbscq_-bbscq_participation | 4.97 [1.57] - 0.00-6.00

In the 6_month_follow_up_adolescents dataset, continuous outcomes for domain wise analyses were summarised by new_group. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Categorical (overall) - cgas_-cgas_response
---------------------------------------------------
Category | Summary
--- | ---
40 | 1 (0.17)
50 | 1 (0.17)
70 | 7 (1.18)
80 | 40 (6.75)
90 | 328 (55.31)
100 | 216 (36.42)

For cgas_-cgas_response in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the overall breakdown.

Overall Categorical (group) - cgas_-cgas_response
-------------------------------------------------
Category | Summary
--- | ---
50 | 1 (0.34)
70 | 3 (1.01)
80 | 20 (6.71)
90 | 171 (57.38)
100 | 103 (34.56)
40 | 1 (0.34)
70 | 4 (1.36)
80 | 20 (6.78)
90 | 157 (53.22)
100 | 113 (38.31)

For cgas_-cgas_response in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the group breakdown.

Overall Categorical (gender) - cgas_-cgas_response
--------------------------------------------------
Category | Summary
--- | ---
70 | 1 (0.34)
80 | 15 (5.08)
90 | 157 (53.22)
100 | 122 (41.36)
40 | 1 (0.34)
50 | 1 (0.34)
70 | 6 (2.01)
80 | 25 (8.39)
90 | 171 (57.38)
100 | 94 (31.54)

For cgas_-cgas_response in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the gender breakdown.

Overall Categorical (new_group) - cgas_-cgas_response
-----------------------------------------------------
Category | Summary
--- | ---
80 | 10 (6.67)
90 | 82 (54.67)
100 | 58 (38.67)
50 | 1 (0.68)
70 | 3 (2.03)
80 | 10 (6.76)
90 | 89 (60.14)
100 | 45 (30.41)
70 | 1 (0.69)
80 | 5 (3.45)
90 | 75 (51.72)
100 | 64 (44.14)
40 | 1 (0.67)
70 | 3 (2.00)
80 | 15 (10.00)
90 | 82 (54.67)
100 | 49 (32.67)

For cgas_-cgas_response in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - phq9a_-phq9a_total_cat_bin
--------------------------------------------------------------
Category | Summary
--- | ---
0 | 311 (52.45)
1 | 282 (47.55)

For phq9a_-phq9a_total_cat_bin in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - phq9a_-phq9a_total_cat_bin
------------------------------------------------------------
Category | Summary
--- | ---
0 | 141 (47.32)
1 | 157 (52.68)
0 | 170 (57.63)
1 | 125 (42.37)

For phq9a_-phq9a_total_cat_bin in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - phq9a_-phq9a_total_cat_bin
-------------------------------------------------------------
Category | Summary
--- | ---
0 | 173 (58.64)
1 | 122 (41.36)
0 | 138 (46.31)
1 | 160 (53.69)

For phq9a_-phq9a_total_cat_bin in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - phq9a_-phq9a_total_cat_bin
----------------------------------------------------------------
Category | Summary
--- | ---
0 | 82 (54.67)
1 | 68 (45.33)
0 | 59 (39.86)
1 | 89 (60.14)
0 | 91 (62.76)
1 | 54 (37.24)
0 | 79 (52.67)
1 | 71 (47.33)

For phq9a_-phq9a_total_cat_bin in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - phq9a_-phq9a_total_cat
----------------------------------------------------------
Category | Summary
--- | ---
1 | 311 (52.45)
2 | 190 (32.04)
3 | 73 (12.31)
4 | 16 (2.70)
5 | 3 (0.51)

For phq9a_-phq9a_total_cat in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - phq9a_-phq9a_total_cat
--------------------------------------------------------
Category | Summary
--- | ---
1 | 141 (47.32)
2 | 107 (35.91)
3 | 38 (12.75)
4 | 9 (3.02)
5 | 3 (1.01)
1 | 170 (57.63)
2 | 83 (28.14)
3 | 35 (11.86)
4 | 7 (2.37)

For phq9a_-phq9a_total_cat in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - phq9a_-phq9a_total_cat
---------------------------------------------------------
Category | Summary
--- | ---
1 | 173 (58.64)
2 | 91 (30.85)
3 | 24 (8.14)
4 | 7 (2.37)
1 | 138 (46.31)
2 | 99 (33.22)
3 | 49 (16.44)
4 | 9 (3.02)
5 | 3 (1.01)

For phq9a_-phq9a_total_cat in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - phq9a_-phq9a_total_cat
------------------------------------------------------------
Category | Summary
--- | ---
1 | 82 (54.67)
2 | 49 (32.67)
3 | 15 (10.00)
4 | 4 (2.67)
1 | 59 (39.86)
2 | 58 (39.19)
3 | 23 (15.54)
4 | 5 (3.38)
5 | 3 (2.03)
1 | 91 (62.76)
2 | 42 (28.97)
3 | 9 (6.21)
4 | 3 (2.07)
1 | 79 (52.67)
2 | 41 (27.33)
3 | 26 (17.33)
4 | 4 (2.67)

For phq9a_-phq9a_total_cat in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - psc_-psc_total_cat
------------------------------------------------------
Category | Summary
--- | ---
0 | 470 (79.26)
1 | 123 (20.74)

For psc_-psc_total_cat in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - psc_-psc_total_cat
----------------------------------------------------
Category | Summary
--- | ---
0 | 233 (78.19)
1 | 65 (21.81)
0 | 237 (80.34)
1 | 58 (19.66)

For psc_-psc_total_cat in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - psc_-psc_total_cat
-----------------------------------------------------
Category | Summary
--- | ---
0 | 250 (84.75)
1 | 45 (15.25)
0 | 220 (73.83)
1 | 78 (26.17)

For psc_-psc_total_cat in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - psc_-psc_total_cat
--------------------------------------------------------
Category | Summary
--- | ---
0 | 125 (83.33)
1 | 25 (16.67)
0 | 108 (72.97)
1 | 40 (27.03)
0 | 125 (86.21)
1 | 20 (13.79)
0 | 112 (74.67)
1 | 38 (25.33)

For psc_-psc_total_cat in the 6_month_follow_up_adolescents dataset, the table above shows category frequencies and percentages for the new_group breakdown.

6 Month Follow Caregivers

Descriptive Statistics (Caregivers Overall)

Overall Continuous (overall)
----------------------------
Variable | Summary
--- | ---
srq_-srq_total | 7.28 [5.82] - 0.00-20.00
apq_-dsm5_total | 24.49 [8.29] - 2.00-40.00
bbscq_-bbscq_total | 24.62 [4.88] - 0.00-31.00

In the 6_month_follow_up_caregiver dataset, continuous outcomes for overall analyses were summarised by overall. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (group)
--------------------------
Variable | Summary
--- | ---
srq_-srq_total | 6.89 [5.77] - 0.00-20.00
srq_-srq_total | 7.68 [5.86] - 0.00-20.00
apq_-dsm5_total | 24.96 [8.21] - 2.00-40.00
apq_-dsm5_total | 24.00 [8.36] - 5.00-40.00
bbscq_-bbscq_total | 24.98 [4.57] - 8.00-31.00
bbscq_-bbscq_total | 24.24 [5.16] - 0.00-31.00

In the 6_month_follow_up_caregiver dataset, continuous outcomes for overall analyses were summarised by group. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (gender)
---------------------------
Variable | Summary
--- | ---
srq_-srq_total | 7.08 [5.83] - 0.00-20.00
srq_-srq_total | 7.47 [5.82] - 0.00-20.00
apq_-dsm5_total | 24.36 [8.42] - 3.00-40.00
apq_-dsm5_total | 24.62 [8.18] - 2.00-40.00
bbscq_-bbscq_total | 24.31 [5.07] - 0.00-31.00
bbscq_-bbscq_total | 24.91 [4.66] - 5.00-31.00

In the 6_month_follow_up_caregiver dataset, continuous outcomes for overall analyses were summarised by gender. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (new_group)
------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 6.95 [5.84] - 0.00-20.00
srq_-srq_total | 6.84 [5.71] - 0.00-20.00
srq_-srq_total | 7.23 [5.84] - 0.00-20.00
srq_-srq_total | 8.10 [5.88] - 0.00-20.00
apq_-dsm5_total | 24.87 [8.26] - 3.00-40.00
apq_-dsm5_total | 25.06 [8.19] - 2.00-40.00
apq_-dsm5_total | 23.81 [8.58] - 5.00-40.00
apq_-dsm5_total | 24.18 [8.17] - 6.00-40.00
bbscq_-bbscq_total | 24.43 [4.91] - 9.00-31.00
bbscq_-bbscq_total | 25.54 [4.14] - 8.00-31.00
bbscq_-bbscq_total | 24.18 [5.26] - 0.00-31.00
bbscq_-bbscq_total | 24.29 [5.07] - 5.00-31.00

In the 6_month_follow_up_caregiver dataset, continuous outcomes for overall analyses were summarised by new_group. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (overall)
--------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 7.28 [5.82] - 0.00-20.00
apq_-dsm5_total | 24.49 [8.29] - 2.00-40.00
bbscq_-bbscq_total | 24.62 [4.88] - 0.00-31.00
bbscq_-bbscq_relation | 8.75 [2.47] - 0.00-12.00
bbscq_-bbscq_belonging | 7.32 [1.44] - 0.00-9.00
bbscq_-bbscq_comitment | 3.81 [0.51] - 0.00-4.00
bbscq_-bbscq_participation | 4.73 [1.71] - 0.00-6.00

In the 6_month_follow_up_caregiver dataset, continuous outcomes for domain wise analyses were summarised by overall. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (group)
------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 6.89 [5.77] - 0.00-20.00
srq_-srq_total | 7.68 [5.86] - 0.00-20.00
apq_-dsm5_total | 24.96 [8.21] - 2.00-40.00
apq_-dsm5_total | 24.00 [8.36] - 5.00-40.00
bbscq_-bbscq_total | 24.98 [4.57] - 8.00-31.00
bbscq_-bbscq_total | 24.24 [5.16] - 0.00-31.00
bbscq_-bbscq_relation | 8.85 [2.38] - 0.00-12.00
bbscq_-bbscq_relation | 8.65 [2.56] - 0.00-12.00
bbscq_-bbscq_belonging | 7.43 [1.29] - 3.00-9.00
bbscq_-bbscq_belonging | 7.20 [1.57] - 0.00-9.00
bbscq_-bbscq_comitment | 3.87 [0.38] - 2.00-4.00
bbscq_-bbscq_comitment | 3.74 [0.61] - 0.00-4.00
bbscq_-bbscq_participation | 4.82 [1.69] - 0.00-6.00
bbscq_-bbscq_participation | 4.65 [1.74] - 0.00-6.00

In the 6_month_follow_up_caregiver dataset, continuous outcomes for domain wise analyses were summarised by group. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (gender)
-------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 7.08 [5.83] - 0.00-20.00
srq_-srq_total | 7.47 [5.82] - 0.00-20.00
apq_-dsm5_total | 24.36 [8.42] - 3.00-40.00
apq_-dsm5_total | 24.62 [8.18] - 2.00-40.00
bbscq_-bbscq_total | 24.31 [5.07] - 0.00-31.00
bbscq_-bbscq_total | 24.91 [4.66] - 5.00-31.00
bbscq_-bbscq_relation | 8.61 [2.59] - 0.00-12.00
bbscq_-bbscq_relation | 8.89 [2.34] - 0.00-12.00
bbscq_-bbscq_belonging | 7.25 [1.42] - 0.00-9.00
bbscq_-bbscq_belonging | 7.39 [1.46] - 2.00-9.00
bbscq_-bbscq_comitment | 3.76 [0.58] - 0.00-4.00
bbscq_-bbscq_comitment | 3.86 [0.42] - 2.00-4.00
bbscq_-bbscq_participation | 4.70 [1.72] - 0.00-6.00
bbscq_-bbscq_participation | 4.77 [1.72] - 0.00-6.00

In the 6_month_follow_up_caregiver dataset, continuous outcomes for domain wise analyses were summarised by gender. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (new_group)
----------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 6.95 [5.84] - 0.00-20.00
srq_-srq_total | 6.84 [5.71] - 0.00-20.00
srq_-srq_total | 7.23 [5.84] - 0.00-20.00
srq_-srq_total | 8.10 [5.88] - 0.00-20.00
apq_-dsm5_total | 24.87 [8.26] - 3.00-40.00
apq_-dsm5_total | 25.06 [8.19] - 2.00-40.00
apq_-dsm5_total | 23.81 [8.58] - 5.00-40.00
apq_-dsm5_total | 24.18 [8.17] - 6.00-40.00
bbscq_-bbscq_total | 24.43 [4.91] - 9.00-31.00
bbscq_-bbscq_total | 25.54 [4.14] - 8.00-31.00
bbscq_-bbscq_total | 24.18 [5.26] - 0.00-31.00
bbscq_-bbscq_total | 24.29 [5.07] - 5.00-31.00
bbscq_-bbscq_relation | 8.64 [2.58] - 1.00-12.00
bbscq_-bbscq_relation | 9.08 [2.14] - 0.00-12.00
bbscq_-bbscq_relation | 8.58 [2.62] - 0.00-12.00
bbscq_-bbscq_relation | 8.71 [2.51] - 0.00-12.00
bbscq_-bbscq_belonging | 7.30 [1.35] - 3.00-9.00
bbscq_-bbscq_belonging | 7.57 [1.21] - 3.00-9.00
bbscq_-bbscq_belonging | 7.18 [1.48] - 0.00-9.00
bbscq_-bbscq_belonging | 7.22 [1.65] - 2.00-9.00
bbscq_-bbscq_comitment | 3.83 [0.44] - 2.00-4.00
bbscq_-bbscq_comitment | 3.91 [0.31] - 2.00-4.00
bbscq_-bbscq_comitment | 3.68 [0.70] - 0.00-4.00
bbscq_-bbscq_comitment | 3.81 [0.50] - 2.00-4.00
bbscq_-bbscq_participation | 4.66 [1.76] - 0.00-6.00
bbscq_-bbscq_participation | 4.99 [1.61] - 0.00-6.00
bbscq_-bbscq_participation | 4.74 [1.67] - 0.00-6.00
bbscq_-bbscq_participation | 4.55 [1.80] - 0.00-6.00

In the 6_month_follow_up_caregiver dataset, continuous outcomes for domain wise analyses were summarised by new_group. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Categorical (overall) - cgas_-cgas_response
---------------------------------------------------
Category | Summary
--- | ---
40 | 1 (0.17)
70 | 2 (0.35)
80 | 23 (3.99)
90 | 246 (42.71)
100 | 304 (52.78)

For cgas_-cgas_response in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the overall breakdown.

Overall Categorical (group) - cgas_-cgas_response
-------------------------------------------------
Category | Summary
--- | ---
40 | 1 (0.34)
70 | 1 (0.34)
80 | 7 (2.38)
90 | 125 (42.52)
100 | 160 (54.42)
70 | 1 (0.35)
80 | 16 (5.67)
90 | 121 (42.91)
100 | 144 (51.06)

For cgas_-cgas_response in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the group breakdown.

Overall Categorical (gender) - cgas_-cgas_response
--------------------------------------------------
Category | Summary
--- | ---
40 | 1 (0.35)
80 | 11 (3.86)
90 | 111 (38.95)
100 | 162 (56.84)
70 | 2 (0.69)
80 | 12 (4.12)
90 | 135 (46.39)
100 | 142 (48.80)

For cgas_-cgas_response in the 6_month_follow_up_caregiver dataset, the table above shows category frequencies and percentages for the gender breakdown.

Overall Categorical (new_group) - cgas_-cgas_response
-----------------------------------------------------
Category | Summary
--- | ---
40 | 1 (0.67)
80 | 5 (3.36)
90 | 58 (38.93)
100 | 85 (57.05)
70 | 1 (0.69)
80 | 2 (1.38)
90 | 67 (46.21)
100 | 75 (51.72)
80 | 6 (4.41)
90 | 53 (38.97)
100 | 77 (56.62)
70 | 1 (0.68)
80 | 10 (6.85)
90 | 68 (46.58)
100 | 67 (45.89)

