Consolidated APA-Style Results Report
=====================================

This report compiles the analysis CSV outputs into plain-text sections.

Section 1: Descriptive Statistics
=================================

6 Month Follow Adolescents

Descriptive Statistics (Adolescents)

Overall Continuous (overall)
----------------------------
Variable | Summary
psychlops_post_-psy_total | 7.07 [5.52] - 0.00-20.00
psychlops_post_-psy_total | 6.59 [5.13] - 0.00-19.00
psychlops_post_-psy_total | 5.68 [4.49] - 0.00-17.00
psychlops_post_-psy_total | 6.51 [4.77] - 0.00-17.00

In the 6_month_follow_up_adolescents dataset, continuous outcomes for overall analyses were summarised by new_group. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (overall)
--------------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 5.21 [4.10] - 0.00-22.00
psc_-psc_total | 19.75 [9.45] - 0.00-49.00
psc_-psc_int | 2.58 [2.22] - 0.00-8.00
psc_-psc_ext | 2.99 [1.97] - 0.00-14.00
psc_-psc_attn | 3.13 [2.36] - 0.00-10.00
rcads_-rcads_total | 16.11 [10.98] - 0.00-56.00
rcads_-rcads_anx_tot | 10.23 [6.96] - 0.00-32.00
rcads_-rcads_dep_tot | 5.89 [4.67] - 0.00-25.00
dsm5_-dsm5_total | 16.16 [12.31] - 0.00-59.00
dsm5_-dsm5_I_Som_Symp | 2.04 [1.95] - 0.00-8.00
dsm5_-dsm5_II_Slp_prb | 0.88 [1.15] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 1.07 [1.23] - 0.00-4.00
dsm5_-dsm5_IV_Dep | 2.10 [2.05] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.92 [2.00] - 0.00-8.00
dsm5_-dsm5_VII_Mania | 1.56 [1.60] - 0.00-8.00
dsm5_-dsm5_VIII_Anx | 2.65 [2.64] - 0.00-11.00
dsm5_-dsm5_IX_Psychss | 0.44 [1.10] - 0.00-8.00
dsm5_-dsm5_X_Rpt_thts | 3.44 [3.12] - 0.00-14.00
dsm5_-dsm5_XI_Sbtncd | 0.03 [0.17] - 0.00-2.00
dsm5_-dsm5_XII_Suic | 0.03 [0.17] - 0.00-1.00
somatic_-somatic_total | 4.25 [3.61] - 0.00-18.00
somatic_-somatic_item_01 | 0.56 [0.69] - 0.00-2.00
somatic_-somatic_item_02 | 0.52 [0.64] - 0.00-2.00
somatic_-somatic_item_03 | 0.75 [0.71] - 0.00-2.00
somatic_-somatic_item_04a | 0.47 [0.67] - 0.00-2.00
somatic_-somatic_item_04b | 0.60 [0.72] - 0.00-2.00
somatic_-somatic_item_04c | 0.25 [0.52] - 0.00-2.00
somatic_-somatic_item_04d | 0.25 [0.53] - 0.00-2.00
somatic_-somatic_item_04e | 0.23 [0.53] - 0.00-2.00
somatic_-somatic_item_04f | 0.36 [0.57] - 0.00-2.00
somatic_-somatic_item_04g | 0.18 [0.46] - 0.00-2.00
somatic_-somatic_item_04h | 0.08 [0.33] - 0.00-2.00
wemwbs_-wemwbs_total | 20.32 [5.07] - 7.00-35.00
wemwbs_-wemwbs_item_01 | 3.19 [1.04] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 2.92 [1.09] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.07 [1.10] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.01 [1.14] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.67 [1.15] - 1.00-5.00
