analysis_set,domain,variable,variable_type,group_by,group_value,category,n,freq,percentage
Domain wise,PSC,psc_-psc_total_cat,categorical,gender,Boys,1,295,45,15.25
Domain wise,PSC,psc_-psc_total_cat,categorical,gender,Girls,0,298,220,73.83
Domain wise,PSC,psc_-psc_total_cat,categorical,gender,Girls,1,298,78,26.17
Domain wise,PSC,psc_-psc_total_cat,categorical,new_group,A_Boys,0,150,125,83.33
Domain wise,PSC,psc_-psc_total_cat,categorical,new_group,A_Boys,1,150,25,16.67
Domain wise,PSC,psc_-psc_total_cat,categorical,new_group,A_Girls,0,148,108,72.97
Domain wise,PSC,psc_-psc_total_cat,categorical,new_group,A_Girls,1,148,40,27.03
Domain wise,PSC,psc_-psc_total_cat,categorical,new_group,B_Boys,0,145,125,86.21
Domain wise,PSC,psc_-psc_total_cat,categorical,new_group,B_Boys,1,145,20,13.79
Domain wise,PSC,psc_-psc_total_cat,categorical,new_group,B_Girls,0,150,112,74.67
Domain wise,PSC,psc_-psc_total_cat,categorical,new_group,B_Girls,1,150,38,25.33
