form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,category,n,freq,percentage
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Girls,80,145,2,1.38
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Girls,90,145,67,46.21
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Girls,100,145,75,51.72
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Boys,80,136,6,4.41
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Boys,90,136,53,38.97
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Boys,100,136,77,56.62
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,70,146,1,0.68
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,80,146,10,6.85
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,90,146,68,46.58
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,100,146,67,45.89
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,overall,overall,0,576,230,39.93
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,overall,overall,1,576,346,60.07
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,group,A,0,294,127,43.20
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,group,A,1,294,167,56.80
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,group,B,0,282,103,36.52
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,group,B,1,282,179,63.48
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,gender,Boys,0,285,126,44.21
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,gender,Boys,1,285,159,55.79
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,gender,Girls,0,291,104,35.74
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,gender,Girls,1,291,187,64.26
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,new_group,A_Boys,0,149,70,46.98
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total_cat,categorical,new_group,A_Boys,1,149,79,53.02
