form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,category,n,freq,percentage
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,60,60,1,1.67
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,80,60,9,15.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,90,60,29,48.33
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,100,60,21,35.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,overall,overall,0,151,90,59.60
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,overall,overall,1,151,61,40.40
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,group,A,0,60,35,58.33
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,group,A,1,60,25,41.67
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,group,B,0,91,55,60.44
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,group,B,1,91,36,39.56
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,gender,Boys,0,63,41,65.08
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,gender,Boys,1,63,22,34.92
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,gender,Girls,0,88,49,55.68
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,gender,Girls,1,88,39,44.32
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,new_group,A_Boys,0,32,18,56.25
