form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,n,mean,sd,min,max,min_max
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,rcads_-rcads_total,continuous,new_group,A_Boys,31,12.16,10.41,0.00,49.00,0.00-49.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,rcads_-rcads_total,continuous,new_group,A_Girls,13,14.31,9.59,1.00,32.00,1.00-32.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,rcads_-rcads_total,continuous,new_group,B_Boys,17,8.94,4.44,3.00,20.00,3.00-20.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,rcads_-rcads_total,continuous,new_group,B_Girls,52,16.75,10.89,0.00,46.00,0.00-46.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,overall,overall,113,13.57,11.72,0.00,65.00,0.00-65.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,group,A,44,13.00,12.63,0.00,65.00,0.00-65.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,group,B,69,13.93,11.18,0.00,44.00,0.00-44.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,gender,Boys,48,11.54,11.69,0.00,65.00,0.00-65.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,gender,Girls,65,15.06,11.60,0.00,44.00,0.00-44.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,new_group,A_Boys,31,12.58,13.61,0.00,65.00,0.00-65.00
9_month_endpoint_adolescents,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,dsm5_-dsm5_total,continuous,new_group,A_Girls,13,14.00,10.37,1.00,38.00,1.00-38.00
